ad_id,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests
1,28,ThemyAd.com,Video,Female,35-44,"art, technology"
2,33,ThemyAd.com,Stories,All,25-34,"travel, photography"
3,20,TheyourAd.com,Carousel,All,25-34,technology
4,28,ThemyAd.com,Stories,Female,25-34,news
5,24,TheyourAd.com,Image,Female,25-34,news
6,33,ThemyAd.com,Video,Male,25-34,"finance, health"
7,9,ThemyAd.com,Image,Female,18-24,"fashion, gaming"
8,13,ThemyAd.com,Carousel,All,25-34,technology
9,49,TheyourAd.com,Stories,All,35-44,"fitness, lifestyle"
10,17,ThemyAd.com,Stories,Female,18-24,art
11,37,ThemyAd.com,Carousel,All,35-44,fashion
12,45,ThemyAd.com,Stories,Female,35-44,"gaming, technology"
13,6,ThemyAd.com,Stories,Female,All,"health, food"
14,21,TheyourAd.com,Image,Female,35-44,"finance, lifestyle"
15,28,ThemyAd.com,Stories,All,All,fashion
16,18,ThemyAd.com,Video,Female,35-44,"food, gaming"
17,48,TheyourAd.com,Image,All,35-44,"sports, travel"
18,30,ThemyAd.com,Video,Male,18-24,photography
19,3,ThemyAd.com,Video,Female,18-24,gaming
20,38,TheyourAd.com,Image,Male,35-44,"art, travel"
21,22,TheyourAd.com,Video,All,25-34,art
22,30,ThemyAd.com,Stories,Male,35-44,finance
23,33,ThemyAd.com,Image,All,18-24,news
24,23,ThemyAd.com,Video,Female,All,technology
25,29,ThemyAd.com,Video,Male,25-34,"travel, technology"
26,42,ThemyAd.com,Image,Female,All,"gaming, health"
27,4,TheyourAd.com,Video,Female,All,"health, fashion"
28,48,ThemyAd.com,Image,Female,25-34,"finance, travel"
29,23,TheyourAd.com,Carousel,All,18-24,"lifestyle, news"
30,49,ThemyAd.com,Carousel,Female,25-34,sports
31,21,ThemyAd.com,Image,Female,25-34,fashion
32,29,TheyourAd.com,Stories,All,18-24,sports
33,15,TheyourAd.com,Carousel,Female,All,photography
34,26,TheyourAd.com,Stories,Female,35-44,"sports, technology"
35,18,TheyourAd.com,Image,Female,25-34,"travel, finance"
36,37,ThemyAd.com,Video,Male,18-24,"gaming, health"
37,46,ThemyAd.com,Carousel,All,35-44,"gaming, travel"
38,2,ThemyAd.com,Stories,Male,25-34,"finance, technology"
39,34,TheyourAd.com,Stories,All,35-44,"lifestyle, gaming"
40,21,ThemyAd.com,Stories,All,All,"health, finance"
41,38,ThemyAd.com,Carousel,All,25-34,photography
42,19,ThemyAd.com,Video,Female,25-34,health
43,35,ThemyAd.com,Video,All,All,fitness
44,40,ThemyAd.com,Video,Female,18-24,"fashion, gaming"
45,38,ThemyAd.com,Carousel,Female,All,"sports, gaming"
46,10,TheyourAd.com,Carousel,All,35-44,"technology, travel"
47,17,TheyourAd.com,Image,Female,35-44,"fitness, sports"
48,42,ThemyAd.com,Carousel,All,All,"finance, lifestyle"
49,11,ThemyAd.com,Stories,All,25-34,finance
50,5,TheyourAd.com,Stories,Female,35-44,news
51,26,TheyourAd.com,Carousel,All,18-24,photography
52,2,TheyourAd.com,Stories,Female,35-44,"health, lifestyle"
53,13,ThemyAd.com,Stories,Female,25-34,sports
54,29,TheyourAd.com,Image,Female,25-34,"technology, travel"
55,39,TheyourAd.com,Carousel,Male,35-44,gaming
56,1,TheyourAd.com,Stories,Female,35-44,news
57,32,TheyourAd.com,Video,Female,All,lifestyle
58,39,ThemyAd.com,Image,Male,18-24,"travel, health"
59,31,TheyourAd.com,Stories,Male,18-24,lifestyle
60,38,ThemyAd.com,Stories,All,35-44,health
61,38,TheyourAd.com,Carousel,All,35-44,"sports, photography"
62,20,ThemyAd.com,Image,Male,All,"fashion, lifestyle"
63,3,ThemyAd.com,Video,Male,35-44,"sports, lifestyle"
64,33,ThemyAd.com,Stories,Female,18-24,news
65,4,ThemyAd.com,Stories,Female,All,finance
66,22,ThemyAd.com,Video,All,All,"photography, finance"
67,40,ThemyAd.com,Carousel,All,18-24,"technology, travel"
68,17,ThemyAd.com,Image,All,18-24,sports
69,13,ThemyAd.com,Stories,Female,18-24,health
70,42,ThemyAd.com,Stories,Female,18-24,"travel, technology"
71,21,ThemyAd.com,Stories,Male,All,"art, fashion"
72,32,ThemyAd.com,Image,All,35-44,travel
73,47,ThemyAd.com,Stories,Female,25-34,fitness
74,17,TheyourAd.com,Image,Female,18-24,"finance, lifestyle"
75,37,ThemyAd.com,Stories,Female,18-24,news
76,11,ThemyAd.com,Video,Female,18-24,"technology, news"
77,4,ThemyAd.com,Stories,Male,35-44,"fashion, photography"
78,26,ThemyAd.com,Image,Female,18-24,"gaming, photography"
79,17,TheyourAd.com,Carousel,Female,25-34,"travel, art"
